code,display_name
SCAN_lipperAverageReturn1yr_ASC,Average Return 1Yr Asc
SCAN_lipperAverageReturn1yr_DESC,Average Return 1Yr Desc
LOW_ETF_SP_RATING_ALL,Average S&P Rating (AltaVista) Asc
HIGH_ETF_SP_RATING_ALL,Average S&P Rating (AltaVista) Desc
SCAN_etfAvgALTAR_ASC,Avg Altar Score (AltaVista) Asc
SCAN_etfAvgALTAR_DESC,Avg Altar Score (AltaVista) Desc
SCAN_avgPriceTarget_ASC,Avg Analyst Price Target (Refinitiv) Asc
SCAN_avgPriceTarget_DESC,Avg Analyst Price Target (Refinitiv) Desc
SCAN_avgRating_ASC,Avg Analyst Rating (Refinitiv) Asc
SCAN_avgRating_DESC,Avg Analyst Rating (Refinitiv) Desc
SCAN_lipperBearBeta1yr_ASC,Bear Beta 1Yr Asc
SCAN_lipperBearBeta1yr_DESC,Bear Beta 1Yr Desc
BEARISH_EMA_DIFF_VS_LAST,Bearish EMA(20) vs EMA(200)
BEARISH_MACD_DIST_VS_LAST,Bearish MACD Histogram
BEARISH_PPO_DIST,Bearish PPO Histogram
BEARISH_LAST_VS_EMA100,Bearish Price vs EMA(100)
BEARISH_LAST_VS_EMA20,Bearish Price vs EMA(20)
BEARISH_LAST_VS_EMA200,Bearish Price vs EMA(200)
BEARISH_LAST_VS_EMA50,Bearish Price vs EMA(50)
SCAN_lipperBeta1yr_ASC,Beta 1Yr Asc
SCAN_lipperBeta1yr_DESC,Beta 1Yr Desc
SCAN_etfBetaSPX_ASC,Beta S&P500 (AltaVista) Asc
SCAN_etfBetaSPX_DESC,Beta S&P500 (AltaVista) Desc
SCAN_lipperBullBeta1yr_ASC,Bull Beta 1Yr Asc
SCAN_lipperBullBeta1yr_DESC,Bull Beta 1Yr Desc
BULLISH_EMA_DIFF_VS_LAST,Bullish EMA(20) vs EMA(200)
BULLISH_MACD_DIST_VS_LAST,Bullish MACD Histogram
BULLISH_PPO_DIST,Bullish PPO Histogram
BULLISH_LAST_VS_EMA100,Bullish Price vs EMA(100)
BULLISH_LAST_VS_EMA20,Bullish Price vs EMA(20)
BULLISH_LAST_VS_EMA200,Bullish Price vs EMA(200)
BULLISH_LAST_VS_EMA50,Bullish Price vs EMA(50)
SCAN_lipperCalculatedAverageQuality_ASC,Calculated Average Quality Asc
SCAN_lipperCalculatedAverageQuality_DESC,Calculated Average Quality Desc
LIMIT_UP_DOWN,Closest to Limit Up/Down
SCAN_lipperLatestCompositeZScore_ASC,Composite Z-Score Latest Asc
SCAN_lipperLatestCompositeZScore_DESC,Composite Z-Score Latest Desc
SCAN_mfConsistentReturnScore10yr_ASC,Consistent Return Score - 10yr Asc
SCAN_mfConsistentReturnScore10yr_DESC,Consistent Return Score - 10yr Desc
SCAN_mfConsistentReturnScore3yr_ASC,Consistent Return Score - 3yr Asc
SCAN_mfConsistentReturnScore3yr_DESC,Consistent Return Score - 3yr Desc
SCAN_mfConsistentReturnScore5yr_ASC,Consistent Return Score - 5yr Asc
SCAN_mfConsistentReturnScore5yr_DESC,Consistent Return Score - 5yr Desc
SCAN_mfConsistentReturnScoreOverall_ASC,Consistent Return Score - Overall Asc
SCAN_mfConsistentReturnScoreOverall_DESC,Consistent Return Score - Overall Desc
SCAN_etfCONVEX_WgtAvg_ASC,Convexity Weighted Average (AltaVista) Asc
SCAN_etfCONVEX_WgtAvg_DESC,Convexity Weighted Average (AltaVista) Desc
SCAN_lipperCorrelation1yr_ASC,Correlation 1Yr Asc
SCAN_lipperCorrelation1yr_DESC,Correlation 1Yr Desc
SCAN_etfCPN_WgtAvg_ASC,Coupon Weighted Average (AltaVista) Asc
SCAN_etfCPN_WgtAvg_DESC,Coupon Weighted Average (AltaVista) Desc
SCAN_lipperCovariance1yr_ASC,CoVariance 1Yr Asc
SCAN_lipperCovariance1yr_DESC,CoVariance 1Yr Desc
SCAN_currYrETFFYBVPerShare_ASC,Curr Year Book Value Per Share (AltaVista) Asc
SCAN_currYrETFFYBVPerShare_DESC,Curr Year Book Value Per Share (AltaVista) Desc
SCAN_currYrETFFYDividendYield_ASC,Curr Year Dividend Yield (AltaVista) Asc
SCAN_currYrETFFYDividendYield_DESC,Curr Year Dividend Yield (AltaVista) Desc
SCAN_currYrETFFYDPS_ASC,Curr Year Dividends Per Share (AltaVista) Asc
SCAN_currYrETFFYDPS_DESC,Curr Year Dividends Per Share (AltaVista) Desc
SCAN_currYrETFFYEPS_ASC,Curr Year Earnings Per Share (AltaVista) Asc
