symbol,current_price,momentum_score,momentum_pct,momentum_standard,momentum_standard_pct,dollar_volume,pct_from_high,at_high,data_days
PLTR,158.74000549316406,3.7590656500705846,375.9065650070585,3.8783036578655095,387.83036578655094,11200506923.04026,-16.452628687808392,False,400
GEV,607.0700073242188,2.392961623291571,239.29616232915708,2.3010646893493063,230.10646893493063,1669236368.2882361,-10.367785288606479,False,353
TPR,99.66000366210938,1.6956607999180613,169.56607999180613,1.4776313237621101,147.76313237621102,414316181.45435303,-12.617272253046774,False,400
VST,190.4600067138672,1.4017508554081104,140.17508554081104,1.3310103508022966,133.10103508022965,936379879.6827039,-12.169701935378729,False,400
RCL,344.6700134277344,1.2337907489272597,123.37907489272597,1.203803296627497,120.3803296627497,778032139.0609863,-3.158098990958935,True,400
UAL,102.9800033569336,1.1369373605657342,113.69373605657343,1.45248866969547,145.248866969547,609120393.9206085,-11.224135037126215,False,400
JBL,209.83999633789062,1.0141192232878784,101.41192232878784,0.9358011991289223,93.58011991289223,342021390.24212646,-9.844851677535049,False,400
HWM,171.0,0.9447158015177928,94.47158015177928,0.7814041733062054,78.14041733062054,581091963.889964,-11.459651036842832,False,400
NRG,145.08999633789062,0.9336944851713567,93.36944851713567,0.7807177728915886,78.07177728915886,472286527.2276129,-17.543765172829882,False,400
COIN,319.8500061035156,0.9235805674511666,92.35805674511666,0.5509383345286285,55.09383345286285,5093735256.404385,-28.06701664366209,False,400
CCL,31.299999237060547,0.9225307376809473,92.25307376809472,1.0206584699517474,102.06584699517474,652946696.7701263,-0.2549392155691166,True,400
AXON,766.239990234375,0.8908557670614696,89.08557670614697,1.0427618708780217,104.27618708780217,511283425.41713375,-13.509119896206057,False,400
DASH,247.32000732421875,0.8825029601108487,88.25029601108487,0.9105447134394631,91.0544713439463,921813110.911189,-11.083942926038404,False,400
RL,285.79998779296875,0.7617199854774128,76.17199854774128,0.7047555102050846,70.47555102050846,198060338.25399414,-6.70497120534872,False,400
AVGO,294.0,0.7613717120372128,76.13717120372128,0.7936451756624241,79.36451756624241,5406441218.874451,-7.357808619640971,False,400
WBD,12.050000190734863,0.757812539290172,75.7812539290172,0.5690104765720523,56.901047657205226,744012481.2303584,-13.121843618175754,False,400
ORCL,236.3699951171875,0.7501492356757946,75.01492356757946,0.7035900142967118,70.35900142967118,3398531542.1961164,-9.391651189702422,False,400
NFLX,1204.6500244140625,0.6937686740245292,69.37686740245293,0.7280382614926402,72.80382614926401,4088005724.9521294,-10.177832271944053,False,400
CRWD,420.54998779296875,0.6911167718229845,69.11167718229845,0.5392921230778511,53.929212307785114,1329832011.8657348,-18.8096058437647,False,400
EQT,51.970001220703125,0.6489618976517233,64.89618976517232,0.5909551284319492,59.09551284319492,464137763.09575653,-14.570067391171893,False,400
CEG,310.1600036621094,0.6428717837801736,64.28717837801736,0.5859962062453619,58.599620624536186,758775351.5350585,-13.015705791262855,False,400
C,95.26000213623047,0.6136988287455434,61.369882874554335,0.6220981714836253,62.20981714836253,1357732589.3338768,-1.0561313617630685,True,400
VRSN,269.54998779296875,0.5932365963180921,59.323659631809214,0.5024102039764495,50.24102039764495,241499565.8246814,-12.965971272974963,False,400
JCI,107.26000213623047,0.5871759453908687,58.71759453908687,0.5473595754188469,54.735957541884694,532879877.526116,-4.767819628997227,True,400
LYV,165.72000122070312,0.5848450031618451,58.48450031618451,0.717839733841928,71.7839733841928,340304169.2538196,-0.49236945988153646,True,400
GE,266.5299987792969,0.5755710695927672,57.557106959276716,0.566870415110581,56.6870415110581,1626315506.674153,-5.317940042878555,False,400
APH,109.36000061035156,0.5687673498682131,56.87673498682131,0.6423549669032,64.23549669032,902350648.2134656,-2.661324347466054,True,400
BK,102.54000091552734,0.5598904996076577,55.98904996076577,0.6085194019593956,60.851940195939555,403143358.26862794,-1.8474205825828038,True,400
GILD,114.7699966430664,0.5553149488268692,55.531494882686914,0.5768860094350263,57.688600943502635,786856213.3927186,-5.794964361716581,False,400
PODD,330.7699890136719,0.5424110972292815,54.24110972292815,0.7802474896705474,78.02474896705473,209642650.33952639,-1.0204092814789623,True,400
SYF,73.19999694824219,0.5411074129011251,54.11074129011251,0.5777731367435068,57.77731367435068,231356667.9974243,-1.2279093976721223,True,400
WFC,79.0999984741211,0.5368696353100695,53.686963531006946,0.4579771404689188,45.79771404689188,1357912691.0322387,-6.206905324841694,False,400
NTRS,130.05999755859375,0.5323474106363795,53.23474106363795,0.5478184916799154,54.78184916799154,242975105.31301817,-2.2105281514332664,True,400
COF,221.22000122070312,0.5261525090113055,52.61525090113055,0.6019222792442858,60.19222792442858,792927198.936731,-4.57215479153329,True,400
BKNG,5720.8701171875,0.5232534688927819,52.325346889278194,0.5423602214320205,54.23602214320204,1130288878.6393359,-2.0300002207521817,True,400
ETR,89.33000183105469,0.5169131676583403,51.69131676583403,0.5474341442629824,54.743414426298244,229277385.19572997,-2.680065809558063,True,400
FFIV,317.2300109863281,0.514040695256607,51.4040695256607,0.5907632830162606,59.076328301626056,151481648.25826415,-5.020954794512534,False,400
PWR,379.8399963378906,0.5137134277869129,51.371342778691286,0.411936793732236,41.1936793732236,447325670.19967896,-10.613264424248769,False,400
SCHW,95.83000183105469,0.5094365589709542,50.94365589709542,0.5031847728318246,50.31847728318246,806964519.5850171,-3.610939855168893,True,400
STX,159.2100067138672,0.5032326601437511,50.323266014375115,0.5670116454461276,56.70116454461276,544778313.4808621,-0.8469829658819705,True,400
T,28.770000457763672,0.495933991410765,49.5933991410765,0.5414764147588336,54.147641475883354,883294237.1218414,-2.967956735542865,True,400
