symbol,current_price,momentum_score,momentum_pct,momentum_standard,momentum_standard_pct,dollar_volume,pct_from_high,at_high,data_days
PLTR,158.74000549316406,3.7590656500705846,375.9065650070585,3.8783036578655095,387.83036578655094,11200506923.04026,-16.452628687808392,False,400
GEV,607.0700073242188,2.392961623291571,239.29616232915708,2.3010646893493063,230.10646893493063,1669236368.2882361,-10.367785288606479,False,353
TPR,99.66000366210938,1.6956607999180613,169.56607999180613,1.4776313237621101,147.76313237621102,414316181.45435303,-12.617272253046774,False,400
VST,190.4600067138672,1.4017508554081104,140.17508554081104,1.3310103508022966,133.10103508022965,936379879.6827039,-12.169701935378729,False,400
RCL,344.6700134277344,1.2337907489272597,123.37907489272597,1.203803296627497,120.3803296627497,778032139.0609863,-3.158098990958935,True,400
UAL,102.9800033569336,1.1369373605657342,113.69373605657343,1.45248866969547,145.248866969547,609120393.9206085,-11.224135037126215,False,400
JBL,209.83999633789062,1.0141192232878784,101.41192232878784,0.9358011991289223,93.58011991289223,342021390.24212646,-9.844851677535049,False,400
HWM,171.0,0.9447158015177928,94.47158015177928,0.7814041733062054,78.14041733062054,581091963.889964,-11.459651036842832,False,400
NRG,145.08999633789062,0.9336944851713567,93.36944851713567,0.7807177728915886,78.07177728915886,472286527.2276129,-17.543765172829882,False,400
COIN,319.8500061035156,0.9235805674511666,92.35805674511666,0.5509383345286285,55.09383345286285,5093735256.404385,-28.06701664366209,False,400
CCL,31.299999237060547,0.9225307376809473,92.25307376809472,1.0206584699517474,102.06584699517474,652946696.7701263,-0.2549392155691166,True,400
AXON,766.239990234375,0.8908557670614696,89.08557670614697,1.0427618708780217,104.27618708780217,511283425.41713375,-13.509119896206057,False,400
DASH,247.32000732421875,0.8825029601108487,88.25029601108487,0.9105447134394631,91.0544713439463,921813110.911189,-11.083942926038404,False,400
RL,285.79998779296875,0.7617199854774128,76.17199854774128,0.7047555102050846,70.47555102050846,198060338.25399414,-6.70497120534872,False,400
AVGO,294.0,0.7613717120372128,76.13717120372128,0.7936451756624241,79.36451756624241,5406441218.874451,-7.357808619640971,False,400
WBD,12.050000190734863,0.757812539290172,75.7812539290172,0.5690104765720523,56.901047657205226,744012481.2303584,-13.121843618175754,False,400
ORCL,236.3699951171875,0.7501492356757946,75.01492356757946,0.7035900142967118,70.35900142967118,3398531542.1961164,-9.391651189702422,False,400
NFLX,1204.6500244140625,0.6937686740245292,69.37686740245293,0.7280382614926402,72.80382614926401,4088005724.9521294,-10.177832271944053,False,400
CRWD,420.54998779296875,0.6911167718229845,69.11167718229845,0.5392921230778511,53.929212307785114,1329832011.8657348,-18.8096058437647,False,400
EQT,51.970001220703125,0.6489618976517233,64.89618976517232,0.5909551284319492,59.09551284319492,464137763.09575653,-14.570067391171893,False,400
CEG,310.1600036621094,0.6428717837801736,64.28717837801736,0.5859962062453619,58.599620624536186,758775351.5350585,-13.015705791262855,False,400
C,95.26000213623047,0.6136988287455434,61.369882874554335,0.6220981714836253,62.20981714836253,1357732589.3338768,-1.0561313617630685,True,400
VRSN,269.54998779296875,0.5932365963180921,59.323659631809214,0.5024102039764495,50.24102039764495,241499565.8246814,-12.965971272974963,False,400
JCI,107.26000213623047,0.5871759453908687,58.71759453908687,0.5473595754188469,54.735957541884694,532879877.526116,-4.767819628997227,True,400
LYV,165.72000122070312,0.5848450031618451,58.48450031618451,0.717839733841928,71.7839733841928,340304169.2538196,-0.49236945988153646,True,400
